"Model Name","Model Id"
"CHAIN_FENCE","303_01_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"CHAIN_FENCE","303_01_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FLOODLIGHT","303_04_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"CHAIN_FENCE","303_01_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FLOODLIGHT","303_04_1"
"CHAIN_FENCE","303_01_1"
"FENCES","303_02_1"
"CHAIN_FENCE","303_01_1"
"FLOODLIGHT","303_04_1"
"CHAIN_FENCE","303_01_1"
"FLOODLIGHT","303_04_1"
"FENCES","303_02_1"
"FENCES","303_02_1"
"FLOODLIGHT","303_04_1"
"FLOODLIGHT","303_04_1"
"FLOODLIGHT","303_04_1"
"FLOODLIGHT","303_04_1"
"WALLS","312_01_1"
"WALLS","312_02_1"
"WALLS","312_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_01_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_03_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_01_1"
"WALL_FENCES","341_01_1"
"WALL_FENCES","341_01_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_02_1"
"WALL_FENCES","341_01_1"
"LARGE_WALLS3","311_02_1"
"LARGE WALLS","311_01_1"
"SMALLWALL","311_03_1"
"SMALLWALL","311_03_1"
"LARGE_WALLS3","311_02_1"
"FLOODLIGHT","335_01_1"
"FLOODLIGHT","335_01_1"
"FLOODLIGHT","335_01_1"
"FLOODLIGHT","335_01_1"
"FLOODLIGHT","335_01_1"
"FLOODLIGHT","335_01_1"
"CONTAINER_GREEN","319_04_1"
"CONTAINER_GREEN","319_05_1"
"CONTAINER_GREEN","319_05_1"
"CONTAINER_GREEN","319_05_1"
"OILSKIN_CRATE","342_01_1"
"CONTAINER_GREEN","319_04_1"
"CONTAINER_GREEN","319_05_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"CONTAINER_GREEN","319_05_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"WOODEN_CRATE","301_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"TREE_SMALL","905_01_1"
"CAMERA","313_01_1"
"CAMERA","313_02_1"
"CAMERAS_DESTROYED","313_03_1"
"CAMERA","313_01_1"
"CAMERA","313_02_1"
"CAMERAS_DESTROYED","313_03_1"
"CAMERA","313_01_1"
"CAMERA","313_02_1"
"CAMERAS_DESTROYED","313_03_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"ALARM_SWITCH","234_01_1"
"KEYCARD","141_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_SECURITY_PATROL_SPAS","019_01_1"
"AITYPE_SECURITY_PATROL_SPAS","019_01_1"
"AITYPE_SECURITY_PATROL_SPAS","019_01_1"
"AITYPE_SECURITY_PATROL_SPAS","019_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_PATROL_AK","003_01_1"
"RADARDOME_EXTERIOR","446_03_1"
"COMPUTER_MAINFRAME","212_01_1"
"METAL_DOOR_SLIDE_RIGHT","501_01_1"
"SWITCH","202_01_1"
"RADAR_ROTOR","436_02_1"
"SMALLWAREHOUSE","412_01_1"
"DOOR","503_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"WOODEN_CRATE","301_01_1"
"WOODEN_CRATE","301_01_1"
"WOODEN_CRATE","301_01_1"
"WOODEN_CRATE","301_01_1"
"WOODEN_CRATE","301_01_1"
"WOODEN_CRATE","301_01_1"
"OILSKIN_CRATE","342_01_1"
"OILSKIN_CRATE","342_01_1"
"AMMOCRATE","306_01_1"
"AMMOCRATE","306_01_1"
"AMMOCRATE","306_01_1"
"AMMOCRATE","306_01_1"
"POWER_BUILDING","401_01_1"
"METAL_DOOR_SLIDE_RIGHT","501_01_1"
"GENERATOR_BIG","201_01_1"
"GENERATOR_BIG","201_01_1"
"POLE_WIRED","338_01_1"
"POLE_WIRED","338_01_1"
"HOLDER","373_01_1"
"POLE_WIRED","338_01_1"
"WIRE","320_01_1"
"GUARD_HQ","403_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"ELEVATOR","200_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"ELEVATOR_DOOR","505_01_1"
"ELEVATOR_DOOR","505_01_1"
"ELEVATOR_DOOR","505_02_1"
"ELEVATOR_DOOR","505_02_1"
"ELEVATOR_DOOR","505_01_1"
"ELEVATOR_DOOR","505_01_1"
"ELEVATOR_DOOR","505_02_1"
"ELEVATOR_DOOR","505_02_1"
"ELEVATOR_DOOR","505_01_1"
"ELEVATOR_DOOR","505_01_1"
"ELEVATOR_DOOR","505_02_1"
"ELEVATOR_DOOR","505_02_1"
"LOCKER","247_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"SHOWER","229_01_1"
"SHOWER","229_01_1"
"SHOWER","229_01_1"
"SHOWER","229_01_1"
"SHOWER","229_01_1"
"SHOWER","229_01_1"
"SHOWER","229_01_1"
"SHOWER","229_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"CHAIR","225_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"MEDICAL_SIGNBOARD","348_01_1"
"BED","227_01_1"
"BED","227_01_1"
"BED","227_01_1"
"BED","227_01_1"
"BED","227_01_1"
"BED","227_01_1"
"TABLE","224_01_1"
"CHAIR","225_01_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"CHECKPOINT","425_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"COMPUTER_MONITOR","252_01_1"
"COMPUTER_DESTROYED","203_02_1"
"OFFICEBUILDING","409_01_1"
"DOOR","503_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","503_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"SOFA","238_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"SOFA","238_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FUSEBOX","223_01_1"
"TRASHCAN","315_01_1"
"TRASHCAN","315_01_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"OFFICEBUILDING","409_01_1"
"DOOR","503_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"DOOR","503_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"SOFA","238_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"HOLDER","373_01_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"KEYCARD","141_01_1"
"WATCHTOWER","405_01_1"
"RADAR_TOWER","436_01_1"
"COMM_BUILDING","402_01_1"
"COMM_MAINFRAME","220_01_1"
"COMM_MAINFRAME","220_01_1"
"FUSEBOX","223_01_1"
"FUSEBOX","223_01_1"
"COMM_DEVICE_POWER","248_01_1"
"LOCKER","247_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"BOARD","218_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"SODA_MACHINE","214_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"BOX","219_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"RADIO","204_01_1"
"TABLE_PACKAGE","237_01_1"
"BOARD","218_01_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"METAL_DOOR_SLIDE_RIGHT","501_01_1"
"DOOR","500_01_1"
"DOOR","500_01_1"
"METAL_DOOR_SLIDE_RIGHT","501_01_1"
"SMALLBARRACKS","418_01_1"
"DOOR","503_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"CHAIR","225_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"CHAIR","225_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"CHAIR","225_01_1"
"","700_02_1"
"SMALLBARRACKS","418_01_1"
"BED","227_01_1"
"BED","227_01_1"
"BED","227_01_1"
"BED","227_01_1"
"BED","227_01_1"
"TABLE","224_01_1"
"SOFA","238_01_1"
"CHAIR","225_01_1"
"CHAIR","225_01_1"
"DOOR","503_01_1"
"SMALLBARRACKS","418_01_1"
"DOOR","503_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"FILINGCABINET","206_01_1"
"BOARD","218_01_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"FENCE_WOODEN","302_01_1"
"FENCE_GATES","304_01_1"
"FENCE_GATES","304_01_1"
"FENCE_GATES","304_01_1"
"FENCE_GATES","304_01_1"
"FENCE_GATES","304_01_1"
"POLE_TELEGRAPH","307_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"POLE_TELEGRAPH","307_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"POLE_TELEGRAPH","307_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"POLE_TELEGRAPH","307_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"SWITCH","202_01_1"
"JONES","000_01_1"
"ANYA_HQ","472_01_1"
"AITYPE_ANYA","015_01_1"
"AITYPE_SOLDIER_AK","008_01_1"
"AITYPE_SOLDIER_AK","008_01_1"
"HELICOPTER","709_01_1"
"JONES","000_01_1"
"HELICOPTER","709_01_1"
"PILOT_AI","715_01_1"
"JONES","000_01_1"
"POLE_WIRE","320_02_1"
"POLE_WIRE","320_02_1"
"POLE_WIRE","320_02_1"
"POLE_WIRE","320_02_1"
"POLE_WIRE","320_02_1"
"POLE_WIRE","320_02_1"
"POLE_WIRE","320_02_1"
"POLE_WIRE","320_02_1"
